check,status,details
ZIP_ROUNDTRIP::DATA_DICTIONARY.csv,PASS,2a155b533b3cd0b52115c97e86ea027f2152e0995e022d5506ba3bec43d98c02
ZIP_ROUNDTRIP::INPUT_MANIFEST.csv,PASS,be778317fbf44d717fa12454c4fda977db89e19aabac7d9bd6c3a5dd441075e8
ZIP_ROUNDTRIP::inputs/balance_frozen_cohort_effects.csv,PASS,cf758ef4cb606ac62e1e04416aca1d6147dd12ca944aed3519737079af7e2fe5
ZIP_ROUNDTRIP::inputs/balance_frozen_holm.csv,PASS,6114afe3e074679f76839aeea3fb3b0b63202c403e59d05abbcff43330046742
ZIP_ROUNDTRIP::inputs/balance_frozen_meta.csv,PASS,226227f3c787fdf584d78ea6618e4082640b3142b4535173460dca9129c679c1
ZIP_ROUNDTRIP::inputs/direction_pairs.csv,PASS,6b6b552ec65b03bda88bcf975ac9b5b569a047b61bf26fdd9f6b2e01bd086b3d
ZIP_ROUNDTRIP::inputs/discovery_paired_differences.csv,PASS,d9e3b31f1d51c643e2f82ee8254019419d1a981011abbd8d0f94ed615cfe7362
ZIP_ROUNDTRIP::inputs/external_frozen_results.csv,PASS,2b6ec54ca81d72aef0be6d5f33de8cadac0092082156ea7b20c0b53c81a867dd
ZIP_ROUNDTRIP::inputs/external_population_membership.csv,PASS,4634749ba5865275af881ab354e305300f33e455ac6bd09aa3d729f772437946
ZIP_ROUNDTRIP::inputs/external_sample_displacement.csv,PASS,79529b46a0a9b26e60132d4b6287e017462b828b381a6aa2fd4bf07b5e532c9a
ZIP_ROUNDTRIP::inputs/healthy_frozen_result.csv,PASS,db84655a441146bd29d949982e80381f37acc07ad53fca989ce99b936e3b4948
ZIP_ROUNDTRIP::inputs/specimen_primary_pairs.csv,PASS,3bba3a83d3898c3e6f18621aab79ec98d29d7643a8c8d02caca59bf6da6a8a01
ZIP_ROUNDTRIP::README.md,PASS,d92b3ced11ae9d7d4d3f99c68a3d50f13c597eb0514084bd30ed6585934bfc19
ZIP_ROUNDTRIP::REPRODUCE_SELECTED_STATISTICS.R,PASS,3c4373d76753a34094cc3162e645d774a80b9867299b42c16bb7fa876fcfd829
ZIP_ROUNDTRIP::REPRODUCE_SPECIMEN_SENSITIVITY.R,PASS,a1815b3feb732b2270ca2530ca265bdf47237c64efd66c8969082a9ef6d003a8
ISOLATED_RUN::REPRODUCE_SELECTED_STATISTICS.R,PASS,exit 0
ISOLATED_RUN::REPRODUCE_SPECIMEN_SENSITIVITY.R,PASS,exit 0
ISOLATED_98_NUMERIC_COMPARISONS,PASS,98/98; tolerance 2e-8 (Holm exact)
SPECIMEN_DETERMINISTIC_RERUN::specimen_cohort_sensitivity_statistics.csv,PASS,CSV SHA256 identical
SPECIMEN_DETERMINISTIC_RERUN::specimen_meta_sensitivity_statistics.csv,PASS,CSV SHA256 identical
SPECIMEN_DETERMINISTIC_RERUN::specimen_sensitivity_patient_differences_LOCAL.csv,PASS,CSV SHA256 identical
