"check","observed","expected","absolute_difference","tolerance","status"
"PRESPECIFIED_PRIMARY_DATE_CLEAN::bray_from_T0::n",24,24,0,2e-08,"PASS"
"PRESPECIFIED_PRIMARY_DATE_CLEAN::bray_from_T0::mean",0.191986241976989,0.191986241976989,2.77555756156289e-17,2e-08,"PASS"
"PRESPECIFIED_PRIMARY_DATE_CLEAN::bray_from_T0::sd",0.275362090404949,0.275362090404949,5.55111512312578e-17,2e-08,"PASS"
"PRESPECIFIED_PRIMARY_DATE_CLEAN::bray_from_T0::ci_low",0.0757110288197652,0.0757110288197652,4.16333634234434e-17,2e-08,"PASS"
"PRESPECIFIED_PRIMARY_DATE_CLEAN::bray_from_T0::ci_high",0.308261455134213,0.308261455134213,0,2e-08,"PASS"
"PRESPECIFIED_PRIMARY_DATE_CLEAN::bray_from_T0::cohen_dz",0.697213772944029,0.697213772944028,2.22044604925031e-16,2e-08,"PASS"
"PRESPECIFIED_PRIMARY_DATE_CLEAN::bray_from_T0::hedges_gz",0.674228703506313,0.674228703506313,1.11022302462516e-16,2e-08,"PASS"
"PRESPECIFIED_PRIMARY_DATE_CLEAN::bray_from_T0::hedges_gz_se",0.220079997921635,0.220079997921635,0,2e-08,"PASS"
"PRESPECIFIED_PRIMARY_DATE_CLEAN::bray_from_T0::hedges_ci_low",0.218958540904715,0.218958540904715,1.11022302462516e-16,2e-08,"PASS"
"PRESPECIFIED_PRIMARY_DATE_CLEAN::bray_from_T0::hedges_ci_high",1.12949886610791,1.12949886610791,0,2e-08,"PASS"
"PRESPECIFIED_PRIMARY_DATE_CLEAN::bray_from_T0::t_p",0.00236706997248474,0.00236706997248475,5.20417042793042e-18,2e-08,"PASS"
"PRESPECIFIED_PRIMARY_DATE_CLEAN::bray_from_T0::wilcoxon_p",0.0177194712911814,0.0177194712911814,0,2e-08,"PASS"
"PRESPECIFIED_PRIMARY_DATE_CLEAN::aitchison_from_T0_CZM::n",24,24,0,2e-08,"PASS"
"PRESPECIFIED_PRIMARY_DATE_CLEAN::aitchison_from_T0_CZM::mean",16.5184435700375,16.5184435700375,0,2e-08,"PASS"
"PRESPECIFIED_PRIMARY_DATE_CLEAN::aitchison_from_T0_CZM::sd",28.7272184877032,28.7272184877032,3.5527136788005e-15,2e-08,"PASS"
"PRESPECIFIED_PRIMARY_DATE_CLEAN::aitchison_from_T0_CZM::ci_low",4.38800307200225,4.38800307200225,1.77635683940025e-15,2e-08,"PASS"
"PRESPECIFIED_PRIMARY_DATE_CLEAN::aitchison_from_T0_CZM::ci_high",28.6488840680727,28.6488840680727,3.5527136788005e-15,2e-08,"PASS"
"PRESPECIFIED_PRIMARY_DATE_CLEAN::aitchison_from_T0_CZM::cohen_dz",0.575010197284095,0.575010197284095,1.11022302462516e-16,2e-08,"PASS"
"PRESPECIFIED_PRIMARY_DATE_CLEAN::aitchison_from_T0_CZM::hedges_gz",0.55605381715385,0.55605381715385,1.11022302462516e-16,2e-08,"PASS"
