"Step","File","Result"
"V2_33U_TRAJECTORY_ECOLOGY_ROBUSTNESS","01_patient_trajectory_ecology_endpoints.csv","IDENTICAL_RAW"
"V2_33U_TRAJECTORY_ECOLOGY_ROBUSTNESS","02_ecological_endpoint_summary.csv","IDENTICAL_RAW"
"V2_33U_TRAJECTORY_ECOLOGY_ROBUSTNESS","03_paired_Day3_Day7_Bray.csv","IDENTICAL_RAW"
"V2_33U_TRAJECTORY_ECOLOGY_ROBUSTNESS","04_paired_Day3_Day7_Bray_test.csv","IDENTICAL_RAW"
"V2_33U_TRAJECTORY_ECOLOGY_ROBUSTNESS","05_pairwise_signed_trajectory_heterogeneity.csv","IDENTICAL_RAW"
"V2_33U_TRAJECTORY_ECOLOGY_ROBUSTNESS","06_trajectory_heterogeneity_summary.csv","IDENTICAL_RAW"
"V2_33U_TRAJECTORY_ECOLOGY_ROBUSTNESS","07_cluster_validity_audit.csv","IDENTICAL_RAW"
"V2_33U_TRAJECTORY_ECOLOGY_ROBUSTNESS","08_cluster_silhouette_k2_to_k4.csv","IDENTICAL_RAW"
"V2_33U_TRAJECTORY_ECOLOGY_ROBUSTNESS","09_trajectory_ecology_robustness.csv","IDENTICAL_RAW"
"V2_33U_TRAJECTORY_ECOLOGY_ROBUSTNESS","Figure_STEP93U_trajectory_ecology_robustness.pdf","PDF_SIZE_OK"
"V2_33W_LONGITUDINAL_EVIDENCE_FREEZE","01_FROZEN_longitudinal_evidence_matrix.csv","IDENTICAL_RAW"
"V2_33W_LONGITUDINAL_EVIDENCE_FREEZE","02_MANUSCRIPT_longitudinal_evidence_table.csv","IDENTICAL_RAW"
"V2_33W_LONGITUDINAL_EVIDENCE_FREEZE","03_PRIMARY_vs_COMMON_ANCHOR_comparison.csv","IDENTICAL_RAW"
"V2_33W_LONGITUDINAL_EVIDENCE_FREEZE","04_CORE_SEPSIS_taxonomic_trajectory_frozen_summary.csv","IDENTICAL_RAW"
"V2_33W_LONGITUDINAL_EVIDENCE_FREEZE","05_FROZEN_claim_guardrails.csv","IDENTICAL_RAW"
"V2_33W_LONGITUDINAL_EVIDENCE_FREEZE","08_STEP93W_QC_SUMMARY.csv","IDENTICAL_RAW"
"V2_33W_LONGITUDINAL_EVIDENCE_FREEZE","Figure_STEP93W_primary_vs_common_anchor.pdf","PDF_SIZE_OK"
